time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
557198613.227,,,,False,978.6775588989258,422.83409357070923,2.470703125,True,
557198629.892,977.3832321166992,415.77797412872314,2.0481719970703125,True,979.2428970336914,414.5199966430664,2.4439239501953125,True,
557198646.558,,,,False,976.7593002319336,415.12787103652954,2.5076904296875,True,
557198663.224,,,,False,980.6581878662109,407.67914056777954,2.454681396484375,True,
557198679.891,,,,False,987.432975769043,416.2145519256592,2.47808837890625,True,
557198696.561,960.4227447509766,375.6745505332947,2.1939239501953125,True,977.6997756958008,371.63276195526123,2.4781494140625,True,
557198713.23,948.2819938659668,381.11613035202026,2.14776611328125,True,977.1431350708008,408.64808320999146,2.41839599609375,True,
557198729.9,976.9936752319336,377.1110987663269,2.284698486328125,True,985.1210403442383,412.39485025405884,2.449127197265625,True,
557198746.567,984.9871444702148,446.58567667007446,2.0822906494140625,True,979.4184494018555,408.3637475967407,2.4912109375,True,
557198763.222,984.8736190795898,382.75217056274414,2.114654541015625,True,977.9346084594727,392.73526668548584,2.4747467041015625,True,
557198779.907,962.2115707397461,386.08315229415894,2.20867919921875,True,980.965461730957,429.41906690597534,2.4801788330078125,True,
557198796.567,,,,False,1004.6953582763672,410.05547046661377,2.41156005859375,True,
557198813.233,960.0282669067383,413.03574800491333,2.1473541259765625,True,1001.4775085449219,406.8623113632202,2.404937744140625,True,
557198829.904,992.5083160400391,441.0563564300537,1.932525634765625,True,987.3061752319336,398.55510234832764,2.422119140625,True,
557198846.572,994.3715286254883,460.5678176879883,1.934295654296875,True,983.8845062255859,403.50500106811523,2.4395599365234375,True,
557198863.234,978.4508514404297,447.877836227417,2.1015472412109375,True,993.7348937988281,408.1518316268921,2.422607421875,True,
557198879.905,988.6775207519531,459.38843965530396,1.9613037109375,True,964.1550064086914,424.439492225647,2.5337066650390625,True,
557198896.577,966.3087844848633,381.29019498825073,2.232208251953125,True,986.2235641479492,425.6259512901306,2.45367431640625,True,
557198913.245,952.2873115539551,379.0266466140747,2.20062255859375,True,994.3243789672852,418.77904415130615,2.372100830078125,True,
557198929.9,951.3957023620605,399.6274924278259,2.25238037109375,True,993.5845184326172,406.5389657020569,2.477447509765625,True,
557198946.577,938.7594223022461,387.9159164428711,2.1242218017578125,True,984.5908355712891,392.3983383178711,2.5194091796875,True,
557198963.236,948.8931083679199,406.61943197250366,2.1855010986328125,True,984.4612884521484,425.2657198905945,2.4691314697265625,True,
557198979.917,952.1950149536133,407.37465620040894,2.1542510986328125,True,970.206184387207,437.17105865478516,2.4364471435546875,True,
557198996.586,929.9467849731445,400.6267547607422,2.1420440673828125,True,980.0075912475586,432.7181839942932,2.3748321533203125,True,
557199013.257,932.138557434082,443.47845554351807,2.1572113037109375,True,991.0120010375977,433.1801247596741,2.3623504638671875,True,
557199029.925,924.4088745117188,405.4829263687134,2.146759033203125,True,970.1766586303711,431.20052576065063,2.4295806884765625,True,
557199046.591,919.2428398132324,416.98200702667236,2.1875,True,957.1890449523926,421.3775897026062,2.419921875,True,
557199063.255,956.638011932373,400.5283284187317,2.08935546875,True,966.95068359375,393.7647843360901,2.480010986328125,True,
557199079.929,945.1522064208984,382.0761251449585,2.149810791015625,True,975.7004928588867,418.24622869491577,2.39593505859375,True,
557199096.594,927.3712921142578,396.11311197280884,2.134063720703125,True,971.7024993896484,422.9697918891907,2.486114501953125,True,
557199113.263,952.6119232177734,401.9346213340759,2.101348876953125,True,974.0691375732422,421.33896589279175,2.3588104248046875,True,
557199129.928,942.2216033935547,442.4090909957886,2.1825103759765625,True,970.0939178466797,409.42867040634155,2.47137451171875,True,
557199146.592,931.904125213623,418.7614703178406,2.0638427734375,True,971.8328475952148,422.71281480789185,2.424072265625,True,
557199163.255,944.2540168762207,408.8317394256592,2.1687469482421875,True,966.4424514770508,403.9394545555115,2.3866119384765625,True,
557199179.932,935.5880355834961,427.616171836853,2.1761627197265625,True,971.9008255004883,430.17544984817505,2.411529541015625,True,
557199196.646,954.1821098327637,409.7829794883728,2.1483306884765625,True,956.6841316223145,406.4572763442993,2.4087677001953125,True,
557199213.272,956.7718505859375,418.86131286621094,2.1174163818359375,True,971.4264678955078,434.27433729171753,2.3681640625,True,
